HostID,ID,Neighbourhood,Latitude,Longitude,PropertyType,RoomType,Accommodates,BedType,Price,GuestsIncluded,ExtraPeople,MinimumNights,ResponseTime,ResponseRate,NumberofReviews,ReviewRating,ReviewAccuracy,ReviewCleanliness,ReviewCheckin,ReviewCommunication,ReviewLocation,ReviewValue,Bathrooms,Bedrooms,Beds,HostSince,PropertyAge,PriceperPerson,BedsperPerson,BedroomsperPerson,BathroomsperPerson,NumberofRooms,RoomsperPerson,PolyMinPrice,PolyMaxPrice,PolyMeanPrice,DistancetoDam(km)
187728,2517619,0,52.36286316,4.89312871,0,0,2,1,120,1,0,3,1,0.95,17,96.0,10.0,10.0,10.0,10.0,10.0,9.0,1.5,0.0,1.0,2010-08-01,4680,60.0,0.5,0.0,0.75,1.5,0.75,8216.0,10270.0,9243.0,1.1408526493359696
191980,282108,1,52.38166034,4.885651442,1,0,2,0,129,1,0,3,1,1.0,76,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,2010-08-05,4676,64.5,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,1.0517693280727611
195126,1913383,0,52.36645461,4.895914227,0,0,2,0,185,1,0,1,2,0.76,4,90.0,10.0,9.0,10.0,10.0,10.0,8.0,1.0,1.0,1.0,2010-08-08,4673,92.5,0.5,0.5,0.5,2.0,1.0,6847.0,8216.0,7531.5,0.781537969379713
195859,771758,11,52.34832594,4.834530146,3,1,2,0,55,1,0,2,0,0.97,24,84.0,8.0,10.0,9.0,9.0,8.0,8.0,1.0,1.0,1.0,2010-08-09,4672,27.5,0.5,0.5,0.5,2.0,1.0,5477.0,6162.0,5819.5,4.799422116751229
197355,44805,6,52.36089543,4.94636722,0,1,3,0,85,2,38,3,1,0.9,103,90.0,9.0,8.0,9.0,9.0,8.0,9.0,1.0,1.0,2.0,2010-08-10,4671,28.333333333333332,0.6666666666666666,0.3333333333333333,0.3333333333333333,2.0,0.6666666666666666,6847.0,8216.0,7531.5,3.9315969117905842
198036,5421998,1,52.38761897,4.891701151,0,0,3,0,145,3,20,1,1,0.9,2,90.0,10.0,9.0,10.0,10.0,9.0,9.0,1.5,2.0,2.0,2010-08-11,4670,48.333333333333336,0.6666666666666666,0.6666666666666666,0.5,3.5,1.1666666666666667,6847.0,8216.0,7531.5,1.6159491895629812
199266,45125,0,52.37402563,4.903188547,0,0,2,0,135,1,0,3,2,1.0,57,98.0,10.0,10.0,10.0,10.0,10.0,9.0,1.0,1.0,2.0,2010-08-12,4669,67.5,1.0,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,0.7554283360000471
200188,45246,5,52.3776764,4.876178649,0,0,2,0,140,2,20,3,1,0.86,62,92.0,9.0,9.0,10.0,10.0,10.0,9.0,1.0,1.0,1.0,2010-08-13,4668,70.0,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,1.2040735670562035
202005,5150374,3,52.3535154,4.90319303,0,0,2,0,90,1,0,1,2,1.0,4,85.0,10.0,9.0,9.0,10.0,10.0,9.0,1.0,1.0,1.0,2010-08-15,4666,45.0,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,2.3043352521821747
202748,45618,5,52.38891827,4.886309184,0,0,4,0,105,2,15,4,2,1.0,73,95.0,9.0,9.0,10.0,10.0,9.0,9.0,1.0,2.0,3.0,2010-08-16,4665,26.25,0.75,0.5,0.25,3.0,0.75,8216.0,10270.0,9243.0,1.8052991907553129
203202,983021,2,52.37018233,4.854696051,0,1,2,0,57,2,25,3,0,0.98,32,85.0,9.0,9.0,9.0,9.0,8.0,8.0,1.0,1.0,1.0,2010-08-16,4665,28.5,0.5,0.5,0.5,2.0,1.0,6847.0,8216.0,7531.5,2.5748629999004913
229241,2079528,2,52.37194896,4.863100523,0,0,6,0,175,4,50,2,0,1.0,18,99.0,9.0,9.0,10.0,10.0,9.0,9.0,1.0,3.0,4.0,2010-09-09,4641,29.166666666666668,0.6666666666666666,0.5,0.16666666666666666,4.0,0.6666666666666666,6847.0,8216.0,7531.5,1.985997327693414
210082,4563750,8,52.35265264,4.884013599,0,0,4,0,160,2,10,3,2,0.64,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,2010-08-23,4658,40.0,0.25,0.25,0.25,2.0,0.5,8216.0,10270.0,9243.0,2.3426101031446804
213960,47333,1,52.36847076,4.892625116,0,0,5,0,135,2,35,3,0,1.0,35,89.0,9.0,9.0,10.0,10.0,10.0,9.0,1.0,2.0,3.0,2010-08-26,4655,27.0,0.6,0.4,0.2,3.0,0.6,8216.0,10270.0,9243.0,0.5159289520445347
213960,65230,1,52.36903004,4.89348239,0,0,5,0,135,2,35,3,0,1.0,36,89.0,8.0,8.0,9.0,10.0,10.0,8.0,1.0,2.0,5.0,2010-08-26,4655,27.0,1.0,0.4,0.2,3.0,0.6,8216.0,10270.0,9243.0,0.46122772782445476
219080,48076,1,52.3786461,4.894416994,0,0,6,0,260,4,30,4,2,0.83,24,97.0,9.0,9.0,10.0,10.0,10.0,9.0,2.0,3.0,5.0,2010-08-31,4650,43.333333333333336,0.8333333333333334,0.5,0.3333333333333333,5.0,0.8333333333333334,8216.0,10270.0,9243.0,0.6353393474520633
226808,261902,4,52.35605073,4.919385692,0,0,4,0,140,2,20,5,2,1.0,21,97.0,9.0,10.0,10.0,10.0,9.0,10.0,2.0,2.0,2.0,2010-09-07,4643,35.0,0.5,0.5,0.5,4.0,1.0,8216.0,10270.0,9243.0,2.6511361610697874
227530,49790,2,52.36266379,4.86103174,1,0,3,0,199,2,40,2,1,1.0,70,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,2.0,2.0,2010-09-07,4643,66.33333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,3.0,1.0,8216.0,10270.0,9243.0,2.4198415800230997
227941,166520,4,52.35966774,4.926502619,0,0,4,0,145,2,25,2,0,0.96,45,97.0,10.0,9.0,10.0,10.0,9.0,10.0,1.0,1.0,1.0,2010-09-08,4642,36.25,0.25,0.25,0.25,2.0,0.5,6847.0,8216.0,7531.5,2.7737180152806933
229174,190527,3,52.35285392,4.890675817,0,0,2,0,67,2,50,2,2,0.7,18,96.0,10.0,9.0,9.0,10.0,10.0,9.0,1.0,1.0,1.0,2010-09-09,4641,33.5,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,2.2552584947526366
231946,50523,1,52.36932043,4.882581591,3,1,2,0,100,1,0,2,0,1.0,26,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,2.0,2010-09-12,4638,50.0,1.0,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,0.7784783813446732
232321,50570,7,52.37773744,4.848911991,0,0,4,0,79,2,30,3,0,0.96,77,93.0,9.0,9.0,10.0,10.0,8.0,9.0,1.0,1.0,5.0,2010-09-12,4638,19.75,1.25,0.25,0.25,2.0,0.5,6847.0,8216.0,7531.5,2.992824112921356
237840,51667,2,52.36881804,4.868602042,0,0,3,0,105,2,45,5,1,1.0,76,96.0,10.0,10.0,10.0,10.0,10.0,9.0,1.0,1.0,2.0,2010-09-17,4633,35.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,2.0,0.6666666666666666,8216.0,10270.0,9243.0,1.6763699956285023
237840,2899247,10,52.35014382,4.940797823,0,0,2,0,85,2,30,4,1,1.0,3,100.0,10.0,9.0,10.0,10.0,9.0,10.0,1.0,1.0,1.0,2010-09-17,4633,42.5,0.5,0.5,0.5,2.0,1.0,6847.0,8216.0,7531.5,4.181562273752342
240194,52038,8,52.35479546,4.88607129,0,0,5,1,140,2,20,2,1,1.0,5,86.0,8.0,9.0,9.0,9.0,10.0,8.0,1.0,2.0,3.0,2010-09-20,4630,28.0,0.6,0.4,0.2,3.0,0.6,8216.0,10270.0,9243.0,2.079169718246848
240194,54237,3,52.35462259,4.886924286,0,1,3,1,99,1,15,1,1,0.97,2,90.0,9.0,10.0,10.0,10.0,10.0,9.0,1.0,1.0,2.0,2010-09-20,4630,33.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,2.0,0.6666666666666666,8216.0,10270.0,9243.0,2.0872319801238897
