HostID,HostName,ID,Neighbourhood,Latitude,Longitude,PropertyType,RoomType,Accommodates,BedType,Price,GuestsIncluded,ExtraPeople,MinimumNights,ResponseTime,ResponseRate,NumberofReviews,ReviewRating,ReviewAccuracy,ReviewCleanliness,ReviewCheckin,ReviewCommunication,ReviewLocation,ReviewValue,Bathrooms,Bedrooms,Beds,HostSince,PropertyAge,PriceperPerson,BedsperPerson,BedroomsperPerson,BathroomsperPerson,NumberofRooms,RoomsperPerson,PolyMinPrice,PolyMaxPrice,PolyMeanPrice,DistancetoDam(km)
126790,Christopher,1088859,De Baarsjes - Oud-West,52.36793778,4.876497045,Apartment,Entire home/apt,2,Real Bed,100,1,0,2,within an hour,1.0,18,99.0,10.0,9.0,10.0,10.0,10.0,9.0,1.0,1.0,1.0,2010-05-17,4756,50.0,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,1.2140171523945458
127233,Ingeborg,29554,Centrum-West,52.38050992,4.894188598,Apartment,Entire home/apt,2,Real Bed,130,1,0,4,within a day,0.9,63,96.0,10.0,9.0,10.0,10.0,10.0,9.0,1.0,1.0,1.0,2010-05-18,4755,65.0,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,0.835582246003478
127233,Ingeborg,4120357,Centrum-West,52.3805797,4.892336621,Apartment,Entire home/apt,2,Real Bed,110,2,40,3,within a day,0.9,10,93.0,10.0,10.0,9.0,10.0,10.0,9.0,1.0,1.0,2.0,2010-05-18,4755,55.0,1.0,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,0.8323518910783313
131462,Riccardo,30431,Centrum-Oost,52.36325836,4.908473002,Apartment,Entire home/apt,2,Real Bed,120,1,0,3,within an hour,1.0,5,95.0,10.0,10.0,10.0,10.0,10.0,9.0,1.5,1.0,1.0,2010-05-25,4748,60.0,0.5,0.5,0.75,2.5,1.25,8216.0,10270.0,9243.0,1.5581576135461104
133347,Ashly,3186920,De Baarsjes - Oud-West,52.36750276,4.875253281,Apartment,Entire home/apt,2,Real Bed,95,2,15,2,within a few hours,0.76,13,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,2010-05-27,4746,47.5,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,1.311558167419994
133488,Nienke,31080,Zuid,52.35132054,4.848382899,Apartment,Entire home/apt,4,Real Bed,180,4,30,4,within a few hours,0.89,13,97.0,10.0,10.0,10.0,10.0,9.0,10.0,1.0,3.0,3.0,2010-05-27,4746,45.0,0.75,0.75,0.25,4.0,1.0,8216.0,10270.0,9243.0,3.844877601120344
133785,Martijn,1819449,Centrum-West,52.36998657,4.879435888,Apartment,Entire home/apt,2,Real Bed,100,0,0,3,within a day,1.0,1,97.0,10.0,10.0,10.0,10.0,10.0,8.0,1.0,1.0,1.0,2010-05-28,4745,50.0,0.5,0.5,0.5,2.0,1.0,10270.0,10270.0,10270.0,0.9358272885585233
140224,Pippa,1362929,Centrum-West,52.3804423,4.896870326,Apartment,Entire home/apt,4,Real Bed,200,4,35,2,within a few hours,0.61,9,88.0,9.0,8.0,9.0,9.0,8.0,8.0,1.5,2.0,2.0,2010-06-07,4735,50.0,0.5,0.5,0.375,3.5,0.875,10270.0,10270.0,10270.0,0.8767335540933547
148238,Jeana,34357,Westerpark,52.39309367,4.872934521,Apartment,Entire home/apt,4,Real Bed,129,2,10,4,within a few hours,0.9,7,100.0,10.0,10.0,10.0,10.0,9.0,10.0,1.5,3.0,2.0,2010-06-20,4722,32.25,0.5,0.75,0.375,4.5,1.125,6847.0,8216.0,7531.5,2.582726532077642
160130,Roy,1039519,Centrum-West,52.37983516,4.892287983,Apartment,Entire home/apt,4,Real Bed,150,2,40,2,within a day,1.0,9,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,3.0,2010-07-07,4705,37.5,0.75,0.25,0.25,2.0,0.5,8216.0,10270.0,9243.0,0.7494754765981836
