name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
washington DC,2013-02-22,1,-0.1,0.7,0.8,-4.1,-2.3,-5.8,63.3,1.317,100,12.5,"rain,snow",0,0,,20.1,56.5,1027.1,98,14.7,90.4,7.8,4,,2013-02-22T06:49:59,2013-02-22T17:53:42,0.4,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"KDCA,72405013743,KADW,KDAA,74594013705"
washington DC,2013-02-23,7.9,1,4.3,7.2,-1.8,2.2,2.9,90.6,2.47,100,41.67,"rain,snow",0,0,29.5,14.7,10.6,1015.9,100,8.6,59.4,5.1,3,,2013-02-23T06:48:37,2013-02-23T17:54:47,0.43,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-02-24,12,2,7,12,-3.1,4.1,-0.9,60.8,0.115,100,16.67,rain,0,0,65.4,50.8,333.2,1013,55.2,14.9,198.4,17.3,7,,2013-02-24T06:47:15,2013-02-24T17:55:52,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-02-25,8.8,-1.1,3.9,8.8,-4.5,1.7,-6.6,47.7,0,0,0,,0,0,,24.1,329.7,1022.2,47.8,16,172.2,14.9,6,,2013-02-25T06:45:51,2013-02-25T17:56:56,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-02-26,7.9,0.6,4.1,5.8,-3.2,1.1,0.6,78,15.324,100,50,rain,0,0,49.4,33,68.4,1017.1,88.7,12.5,50.6,4.3,2,,2013-02-26T06:44:27,2013-02-26T17:58:00,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-02-27,13.9,5.8,9.5,13.9,2.2,8.3,3,67.2,0.565,100,12.5,rain,0,0,35.3,18.5,310.3,1003.3,92.6,13.7,193.5,16.7,7,,2013-02-27T06:43:02,2013-02-27T17:59:04,0.57,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-02-28,9.1,5.8,7.2,7.4,2.1,4.4,-2,53.3,0.294,100,4.17,rain,0,0,38.6,29.3,313,1005.2,96.4,16,134.9,11.7,5,,2013-02-28T06:41:36,2013-02-28T18:00:08,0.6,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-03-01,7.8,3.8,6,4.9,-0.4,2.3,-3.2,51.7,0,0,0,,0,0,38.9,29.3,313.5,1009.6,99.4,16,147.4,12.7,6,,2013-03-01T06:40:09,2013-03-01T18:01:11,0.64,Overcast,Cloudy skies throughout the day.,cloudy,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-03-02,3.1,-0.1,1.9,-0.9,-5.4,-2.7,-6.7,53.1,0,0,0,,0,0,38.9,28.9,319.6,1011.6,75.4,16,144.5,12.5,5,,2013-03-02T06:38:42,2013-03-02T18:02:14,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-03-03,5.7,-1.1,1.9,1.7,-6.4,-2.9,-8.2,48.2,0,0,0,,0,0,49.5,33,319.1,1011.3,64.9,16,146.3,12.8,5,,2013-03-03T06:37:14,2013-03-03T18:03:17,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-03-04,7,-1.2,2.4,3.2,-7.4,-2.3,-9.9,40.7,0,0,0,,0,0,51.2,36.7,320.2,1015.5,27.4,16,209.4,18.2,8,,2013-03-04T06:35:45,2013-03-04T18:04:19,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-03-05,10.7,0.6,5.2,10.7,-2.3,2.6,-7.9,39.8,0,0,0,,0,0,35.3,27,57.4,1016.2,76.2,16,189.2,16.2,7,,2013-03-05T06:34:16,2013-03-05T18:05:21,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
